Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
Jeff Teague,417.0,15-16,PG,26.0,ATL,77.0,76.33333333333333,30.400000000000002,5.633333333333333,12.633333333333333,0.44566666666666666,1.0999999999999999,3.033333333333333,0.35733333333333334,4.5,9.533333333333333,0.47300000000000003,0.48966666666666664,3.6999999999999997,4.366666666666667,0.8483333333333333,0.4000000000000001,2.2,2.6,6.533333333333334,1.3333333333333333,0.3,2.8333333333333335,2.0,16.033333333333335,19000000.0
Jeremy Evans,133.0,15-16,SF,27.0,DAL,44.666666666666664,2.0,11.233333333333334,1.4666666666666668,2.6999999999999997,0.5403333333333333,0.06666666666666667,0.19999999999999998,0.21666666666666667,1.4000000000000001,2.5,0.5946666666666667,0.5596666666666666,0.6333333333333334,0.8666666666666667,0.7406666666666667,0.9666666666666668,1.8333333333333333,2.8000000000000003,0.3666666666666667,0.3666666666666667,0.4333333333333333,0.3,1.1666666666666667,3.633333333333333,1471382.0
Jeremy Lamb,254.0,15-16,SG,22.0,CHO,63.666666666666664,2.6666666666666665,17.266666666666666,3.033333333333333,6.933333333333334,0.43300000000000005,0.9,2.766666666666667,0.3356666666666667,2.066666666666667,4.2,0.4956666666666667,0.5006666666666667,0.9,1.0999999999999999,0.805,0.39999999999999997,2.466666666666667,2.8333333333333335,1.2,0.5666666666666667,0.3,0.7333333333333334,1.5,7.866666666666667,7488372.0
Jeremy Lin,267.0,15-16,SG,26.0,CHO,74.33333333333333,25.333333333333332,27.0,3.9,9.133333333333335,0.42733333333333334,1.0333333333333332,2.8333333333333335,0.3543333333333334,2.9333333333333336,6.333333333333333,0.4606666666666667,0.4816666666666667,3.033333333333333,3.6666666666666665,0.8109999999999999,0.4666666666666666,2.4,2.8000000000000003,3.9,0.9333333333333332,0.43333333333333335,2.1999999999999997,2.3333333333333335,11.799999999999999,12516746.0
Jerryd Bayless,39.0,15-16,SG,26.0,MIL,67.0,13.666666666666666,24.866666666666664,3.3000000000000003,7.900000000000001,0.417,1.1666666666666667,2.966666666666667,0.36766666666666675,2.1333333333333333,4.8999999999999995,0.43166666666666664,0.48833333333333334,1.4000000000000001,1.7,0.8193333333333334,0.3333333333333333,2.1666666666666665,2.466666666666667,2.9333333333333336,0.8333333333333334,0.16666666666666666,1.3999999999999997,2.1333333333333333,9.166666666666666,8575916.0
Jimmy Butler,72.0,15-16,SG,25.0,CHI,66.33333333333333,66.33333333333333,38.1,5.866666666666667,13.233333333333334,0.4376666666666667,1.0333333333333334,3.233333333333333,0.3243333333333333,4.866666666666666,10.1,0.4766666666666666,0.4776666666666667,5.233333333333333,6.3999999999999995,0.8116666666666666,1.4333333333333333,3.966666666666667,5.333333333333333,3.5666666666666664,1.7666666666666668,0.5666666666666667,1.6333333333333335,1.7333333333333332,18.0,19301070.0
Joakim Noah,328.0,15-16,C,29.0,CHI,58.666666666666664,49.666666666666664,29.266666666666666,3.133333333333333,7.0,0.4343333333333333,0.0,0.0,0.0,3.133333333333333,6.966666666666666,0.4363333333333333,0.4343333333333333,1.8333333333333333,2.8000000000000003,0.6096666666666667,3.266666666666667,6.633333333333333,9.9,4.633333333333334,0.8333333333333334,1.2,2.0,2.9333333333333336,8.033333333333333,18530000.0
Jodie Meeks,297.0,15-16,SG,27.0,DET,46.666666666666664,23.333333333333332,23.96666666666667,3.8000000000000003,9.066666666666668,0.4096666666666667,1.5333333333333332,3.9,0.39799999999999996,2.2666666666666666,5.133333333333334,0.4156666666666667,0.4963333333333333,2.1999999999999997,2.466666666666667,0.9209999999999999,0.3,1.6333333333333335,1.9666666666666668,1.3666666666666665,0.7999999999999999,0.06666666666666667,0.9,1.1666666666666667,11.366666666666665,3454500.0
Joe Johnson,231.0,15-16,SF,33.0,TOT,80.0,80.0,33.63333333333333,5.366666666666667,12.1,0.4426666666666667,1.7,4.3999999999999995,0.381,3.6999999999999997,7.7,0.47733333333333333,0.512,1.7666666666666666,2.1666666666666665,0.8156666666666667,0.6333333333333333,3.2999999999999994,3.9333333333333336,3.4333333333333336,0.7000000000000001,0.10000000000000002,1.7333333333333334,1.6333333333333335,14.133333333333335,473835.0
John Henson,191.0,15-16,C,24.0,MIL,64.66666666666667,11.666666666666666,20.533333333333335,3.5666666666666664,6.466666666666666,0.5559999999999999,0.0,0.0,0.0,3.5666666666666664,6.466666666666666,0.557,0.5559999999999999,1.2333333333333334,2.1999999999999997,0.5576666666666666,1.9333333333333333,3.2999999999999994,5.233333333333333,1.1333333333333335,0.4333333333333333,1.8666666666666665,1.3333333333333333,2.4,8.366666666666667,11327466.0
