team,salary,player,position,season
Indiana Pacers,1500000.0,Jeff Ayres, F,2012-2013
Miami Heat,1500000.0,Greg Oden, C,2012-2013
Detroit Pistons,1500000.0,Slava Kravtsov, C,2012-2013
Orlando Magic,1500000.0,Gustavo Ayon, PF,2012-2013
Houston Rockets,1485000.0,Terrence Jones, PF,2012-2013
Orlando Magic,1482000.0,Andrew Nicholson, PF,2012-2013
Portland Trail Blazers,1475106.0,Jared Jeffries, PF,2012-2013
LA Clippers,1467840.0,Alexis Ajinca, C,2012-2013
Portland Trail Blazers,1442880.0,Elliot Williams, SG,2012-2013
Milwaukee Bucks,1409040.0,Tony Snell, SG,2012-2013
Philadelphia 76ers,1404960.0,Craig Brackins, PF,2012-2013
San Antonio Spurs,1400000.0,Nando De Colo, PG,2012-2013
Miami Heat,1399507.0,Eddie House, SG,2012-2013
LA Clippers,1399507.0,Willie Green, SG,2012-2013
Miami Heat,1399507.0,Rashard Lewis, PF,2012-2013
Portland Trail Blazers,1365720.0,Nolan Smith, PG,2012-2013
Denver Nuggets,1361400.0,Evan Fournier, SG,2012-2013
Houston Rockets,1361400.0,Donatas Motiejunas, PF,2012-2013
Utah Jazz,1352181.0,Jamaal Tinsley, PG,2012-2013
New York Knicks,1352181.0,Kurt Thomas, PF,2012-2013
Milwaukee Bucks,1350000.0,Roko-Leni Ukic, PG,2012-2013
Denver Nuggets,1311240.0,Kenneth Faried, PF,2012-2013
Boston Celtics,1306920.0,Jared Sullinger, C,2012-2013
Memphis Grizzlies,1300000.0,Hamed Haddadi, C,2012-2013
Portland Trail Blazers,1300000.0,Victor Claver, PF,2012-2013
Dallas Mavericks,1276560.0,Dominique Jones, SG,2012-2013
Oklahoma City Thunder,1260360.0,Reggie Jackson, PG,2012-2013
Boston Celtics,1254720.0,Fab Melo, C,2012-2013
Memphis Grizzlies,1234320.0,Quincy Pondexter, SF,2012-2013
Portland Trail Blazers,1232713.0,Sasha Pavlovic, SG,2012-2013
Atlanta Hawks,1204560.0,John Jenkins, G,2012-2013
Oklahoma City Thunder,1200000.0,Hasheem Thabeet, C,2012-2013
Washington Wizards,1198680.0,Jordan Crawford, G,2012-2013
New Orleans Hornets,1191240.0,Greivis Vasquez, PG,2012-2013
Orlando Magic,1174080.0,Christian Eyenga, SF,2012-2013
Brooklyn Nets,1160040.0,MarShon Brooks, SG,2012-2013
Dallas Mavericks,1156320.0,Jared Cunningham, SG,2012-2013
Detroit Pistons,1149000.0,Reggie Bullock, SG,2012-2013
Portland Trail Blazers,1146337.0,Ronnie Price, PG,2012-2013
Miami Heat,1129200.0,Norris Cole, PG,2012-2013
Denver Nuggets,1121520.0,Jordan Hamilton, SG,2012-2013
Chicago Bulls,1112880.0,Jimmy Butler, SG,2012-2013
Oklahoma City Thunder,1110840.0,Andre Roberson, SG,2012-2013
Memphis Grizzlies,1110120.0,Tony Wroten, SG,2012-2013
Milwaukee Bucks,1106941.0,Stephen Graham, SF,2012-2013
Cleveland Cavaliers,1106941.0,Joey Graham, SF,2012-2013
Houston Rockets,1089240.0,JaJuan Johnson, PF,2012-2013
San Antonio Spurs,1085120.0,Patty Mills, PG,2012-2013
Oklahoma City Thunder,1082520.0,Perry Jones, SF,2012-2013
Chicago Bulls,1074720.0,Marquis Teague, G,2012-2013
San Antonio Spurs,1074720.0,Cory Joseph, PG,2012-2013
Indiana Pacers,1073280.0,Miles Plumlee, C,2012-2013
Minnesota Timberwolves,1071720.0,Alando Tucker, SF,2012-2013
Orlando Magic,1069509.0,Von Wafer, SG,2012-2013
Cleveland Cavaliers,1069509.0,Kelenna Azubuike, SF,2012-2013
Cleveland Cavaliers,1054389.0,Luke Harangody, PF,2012-2013
San Antonio Spurs,1054000.0,DeJuan Blair, C,2012-2013
Philadelphia 76ers,1042320.0,Arnett Moultrie, PF,2012-2013
Brooklyn Nets,1033342.0,Quinton Ross, SF,2012-2013
Cleveland Cavaliers,1029389.0,Jawad Williams, SF,2012-2013
Golden State Warriors,1020960.0,Festus Ezeli, C,2012-2013
Detroit Pistons,1000000.0,Kyle Singler, F,2012-2013
Houston Rockets,1000000.0,Jon Brockman, PF,2012-2013
Brooklyn Nets,992680.0,C.J. Watson, PG,2012-2013
Dallas Mavericks,992680.0,Brandan Wright, F,2012-2013
Atlanta Hawks,962195.0,Ivan Johnson, PF,2012-2013
Oklahoma City Thunder,916099.0,Daniel Orton, C,2012-2013
Charlotte Bobcats,916099.0,Jeff Adrien, SF,2012-2013
Orlando Magic,910941.0,Ish Smith, PG,2012-2013
Houston Rockets,888250.0,Chandler Parsons, SF,2012-2013
Miami Heat,885120.0,Henry Walker, SF,2012-2013
Miami Heat,885120.0,Alexander Johnson, SF,2012-2013
Utah Jazz,885120.0,DeMarre Carroll, SF,2012-2013
Minnesota Timberwolves,885120.0,Chase Budinger, SF,2012-2013
Denver Nuggets,885120.0,Pops Mensah-Bonsu, PF,2012-2013
Atlanta Hawks,884881.0,Salim Stoudamire, SG,2012-2013
Oklahoma City Thunder,884293.0,DeAndre Liggins, G,2012-2013
Washington Wizards,884293.0,Garrett Temple, SG,2012-2013
LA Clippers,884293.0,Ryan Hollins, C,2012-2013
Chicago Bulls,884293.0,Nazr Mohammed, C,2012-2013
Orlando Magic,884293.0,E'Twaun Moore, G,2012-2013
Indiana Pacers,870000.0,Lance Stephenson, SG,2012-2013
Sacramento Kings,855189.0,Quincy Douby, SG,2012-2013
New York Knicks,855189.0,Mouhamed Sene, C,2012-2013
San Antonio Spurs,855189.0,Marcus Haislip, F,2012-2013
Chicago Bulls,855189.0,Anthony Roberson, SG,2012-2013
Memphis Grizzlies,854389.0,Josh Davis, SF,2012-2013
Sacramento Kings,854389.0,Kenny Thomas, PF,2012-2013
Memphis Grizzlies,854389.0,Kyle Weaver, SG,2012-2013
Miami Heat,854389.0,Luke Jackson, SF,2012-2013
Memphis Grizzlies,854389.0,Darius Miles, SF,2012-2013
Washington Wizards,854389.0,Javaris Crittenton, PG,2012-2013
Utah Jazz,854389.0,Dwayne Jones II, PF,2012-2013
Philadelphia 76ers,854389.0,Damien Wilkins, SG,2012-2013
Dallas Mavericks,854389.0,Brian Cardinal, PF,2012-2013
Washington Wizards,854389.0,Earl Barron, C,2012-2013
Golden State Warriors,850000.0,Draymond Green, PF,2012-2013
Dallas Mavericks,839312.0,Troy Murphy, PF,2012-2013
Philadelphia 76ers,830000.0,Solomon Alabi, C,2012-2013
Phoenix Suns,826828.0,Michael Redd, SG,2012-2013
Washington Wizards,825497.0,Paul Davis, C,2012-2013
Sacramento Kings,825497.0,Desmond Mason, SF,2012-2013
New Orleans Pelicans,825497.0,Jason Hart, PG,2012-2013
LA Clippers,825497.0,Kareem Rush, SG,2012-2013
Oklahoma City Thunder,825497.0,Kevin Ollie, PG,2012-2013
Oklahoma City Thunder,825497.0,Ryan Bowen, SF,2012-2013
Phoenix Suns,825497.0,Lindsey Hunter, SG,2012-2013
Sacramento Kings,809875.0,Tyler Honeycutt, SF,2012-2013
Portland Trail Blazers,799105.0,Sean Marks, PF,2012-2013
New York Knicks,792377.0,Ike Diogu, PF,2012-2013
