Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
DeAndre Jordan,19-20,C,31.0,BRK,56.0,6.0,22.0,3.4,5.1,0.6659999999999999,0.0,0.0,,3.4,5.1,0.6659999999999999,0.6659999999999999,1.5,2.2,0.68,2.5,7.5,10.0,1.9,0.3,0.9,1.3,2.0,8.3,9881598
Cory Joseph,19-20,PG,28.0,SAC,72.0,26.0,24.4,2.4,5.7,0.415,0.8,2.2,0.35200000000000004,1.6,3.5,0.455,0.483,0.8,1.0,0.857,0.6,2.0,2.6,3.5,0.7,0.3,1.1,1.8,6.4,12000000
Mfiondu Kabengele,19-20,C,22.0,LAC,12.0,0.0,5.3,1.2,2.7,0.43799999999999994,0.8,1.7,0.45,0.4,1.0,0.41700000000000004,0.578,0.4,0.4,1.0,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5,1977000
Frank Kaminsky,19-20,C,26.0,PHO,39.0,13.0,19.9,3.5,7.9,0.45,1.1,3.2,0.331,2.5,4.7,0.53,0.516,1.6,2.3,0.6779999999999999,0.9,3.6,4.5,1.9,0.4,0.3,0.9,1.9,9.7,4767000
Enes Kanter,19-20,C,27.0,BOS,58.0,7.0,16.9,3.4,6.0,0.5720000000000001,0.0,0.1,0.14300000000000002,3.4,5.9,0.581,0.573,1.2,1.7,0.7070000000000001,2.8,4.6,7.4,1.0,0.4,0.7,1.0,1.7,8.1,4767000
Luke Kennard,19-20,SG,23.0,DET,28.0,25.0,32.9,5.4,12.2,0.442,2.6,6.5,0.39899999999999997,2.8,5.7,0.491,0.5479999999999999,2.4,2.7,0.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8,3827160
Stanton Kidd,19-20,SF,27.0,UTA,4.0,0.0,3.8,0.0,0.8,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.8,0.8,0.3,0.0,0.0,0.5,0.8,0.0,250000
Michael Kidd-Gilchrist,19-20,SF-PF,26.0,TOT,25.0,0.0,11.2,0.9,2.6,0.33299999999999996,0.2,0.8,0.25,0.7,1.8,0.37,0.371,0.4,0.6,0.7859999999999999,0.6,2.1,2.7,0.6,0.1,0.2,0.6,1.5,2.4,13000000
Maxi Kleber,19-20,C,28.0,DAL,74.0,21.0,25.5,3.2,6.9,0.461,1.6,4.3,0.373,1.6,2.6,0.605,0.5770000000000001,1.1,1.3,0.8490000000000001,1.5,3.7,5.2,1.2,0.3,1.1,0.8,2.4,9.1,8000000
Brandon Knight,19-20,PG,28.0,TOT,25.0,3.0,18.5,2.4,6.7,0.353,1.8,5.2,0.344,0.6,1.4,0.389,0.488,0.8,1.4,0.588,0.2,1.5,1.6,2.8,0.4,0.1,1.5,1.6,7.3,15643750
Kevin Knox,19-20,SF,20.0,NYK,65.0,4.0,17.9,2.2,6.2,0.359,1.0,3.1,0.327,1.2,3.1,0.391,0.44,1.0,1.6,0.653,0.4,2.4,2.8,0.9,0.4,0.4,0.7,1.6,6.4,4380120
Furkan Korkmaz,19-20,SG,22.0,PHI,72.0,12.0,21.7,3.4,7.8,0.43,2.0,4.9,0.402,1.4,2.9,0.478,0.557,1.1,1.4,0.755,0.3,2.1,2.3,1.1,0.6,0.2,0.8,1.4,9.8,1620564
Luke Kornet,19-20,C,24.0,CHI,36.0,14.0,15.5,2.3,5.2,0.439,0.9,3.0,0.287,1.4,2.2,0.6459999999999999,0.521,0.6,0.8,0.7140000000000001,0.6,1.7,2.3,0.9,0.3,0.7,0.4,1.5,6.0,2195122
Kyle Korver,19-20,SF,38.0,MIL,58.0,1.0,16.6,2.2,5.1,0.43,1.7,4.1,0.418,0.5,1.0,0.48200000000000004,0.599,0.6,0.7,0.8540000000000001,0.3,1.8,2.1,1.2,0.4,0.2,0.8,1.3,6.7,3440000
Rodions Kurucs,19-20,PF,21.0,BRK,47.0,9.0,14.6,1.7,3.8,0.446,0.7,1.9,0.36700000000000005,1.0,1.9,0.529,0.54,0.5,0.8,0.632,0.5,2.4,2.9,1.1,0.5,0.1,1.0,1.9,4.6,1699236
Kyle Kuzma,19-20,PF,24.0,LAL,61.0,9.0,25.0,4.8,11.0,0.436,1.4,4.5,0.316,3.4,6.5,0.518,0.5,1.9,2.5,0.735,0.9,3.6,4.5,1.3,0.5,0.4,1.5,2.1,12.8,1974600
Skal Labissière,19-20,C,23.0,POR,33.0,1.0,17.2,2.5,4.5,0.551,0.1,0.4,0.231,2.4,4.1,0.5820000000000001,0.561,0.8,1.0,0.758,2.0,3.2,5.1,1.3,0.2,0.9,0.9,2.7,5.8,2338847
Jeremy Lamb,19-20,SG,27.0,IND,46.0,42.0,28.1,4.7,10.4,0.451,1.2,3.4,0.335,3.5,7.0,0.508,0.506,2.0,2.4,0.836,0.5,3.8,4.3,2.1,1.2,0.5,1.1,2.3,12.5,10500000
Romeo Langford,19-20,SG,20.0,BOS,32.0,2.0,11.6,0.9,2.5,0.35,0.2,0.8,0.185,0.7,1.7,0.434,0.381,0.6,0.8,0.72,0.5,0.8,1.3,0.4,0.3,0.3,0.3,1.0,2.5,3458400
Zach LaVine,19-20,SG,24.0,CHI,60.0,60.0,34.8,9.0,20.0,0.45,3.1,8.1,0.38,5.9,11.9,0.49700000000000005,0.526,4.5,5.6,0.802,0.7,4.1,4.8,4.2,1.5,0.5,3.4,2.2,25.5,19500000
Jake Layman,19-20,PF,25.0,MIN,23.0,2.0,22.0,3.5,7.8,0.45299999999999996,1.0,3.1,0.33299999999999996,2.5,4.7,0.5329999999999999,0.52,1.0,1.4,0.75,0.7,1.7,2.5,0.7,0.7,0.4,1.0,2.0,9.1,3581986
T.J. Leaf,19-20,PF,22.0,IND,28.0,1.0,7.9,1.3,3.1,0.419,0.2,0.6,0.278,1.1,2.4,0.456,0.44799999999999995,0.3,0.6,0.43799999999999994,0.8,1.7,2.5,0.3,0.4,0.1,0.3,0.8,3.0,2813280
Jalen Lecque,19-20,PG,19.0,PHO,5.0,0.0,6.4,0.8,2.0,0.4,0.0,0.8,0.0,0.8,1.2,0.667,0.4,0.4,0.4,1.0,0.0,0.4,0.4,0.4,0.0,0.0,0.4,0.6,2.0,898310
Courtney Lee,19-20,SG,34.0,DAL,24.0,9.0,14.4,1.7,3.4,0.488,0.9,2.0,0.447,0.8,1.5,0.5429999999999999,0.616,0.3,0.3,0.857,0.3,1.0,1.3,0.5,0.8,0.3,0.5,1.4,4.5,12759670
Damion Lee,19-20,SG,27.0,GSW,49.0,36.0,29.0,4.3,10.4,0.41700000000000004,1.7,4.9,0.35600000000000004,2.6,5.6,0.47100000000000003,0.5,2.2,2.6,0.873,0.7,4.2,4.9,2.7,1.0,0.1,1.4,2.4,12.7,842327
Alex Len,19-20,C,26.0,TOT,55.0,12.0,17.6,3.2,5.8,0.555,0.3,1.1,0.271,2.9,4.7,0.619,0.58,1.2,1.9,0.648,1.8,4.0,5.8,0.9,0.4,0.9,1.0,2.3,8.0,4160000
Kawhi Leonard,19-20,SF,28.0,LAC,57.0,57.0,32.4,9.3,19.9,0.47,2.2,5.7,0.37799999999999995,7.2,14.2,0.506,0.524,6.2,7.1,0.8859999999999999,0.9,6.1,7.1,4.9,1.8,0.6,2.6,2.0,27.1,32742000
Meyers Leonard,19-20,C,27.0,MIA,51.0,49.0,20.3,2.3,4.6,0.509,1.0,2.5,0.414,1.3,2.1,0.623,0.622,0.4,0.5,0.643,0.6,4.5,5.1,1.1,0.3,0.3,0.8,2.1,6.1,11286515
Caris LeVert,19-20,SG,25.0,BRK,45.0,31.0,29.6,6.9,16.3,0.425,1.8,4.9,0.364,5.1,11.4,0.451,0.48,3.1,4.4,0.711,1.1,3.1,4.2,4.4,1.2,0.2,2.6,1.8,18.7,2625718
Damian Lillard,19-20,PG,29.0,POR,66.0,66.0,37.5,9.5,20.4,0.46299999999999997,4.1,10.2,0.401,5.4,10.2,0.524,0.563,7.0,7.8,0.888,0.5,3.8,4.3,8.0,1.1,0.3,2.9,1.7,30.0,29802321
Nassir Little,19-20,PF,19.0,POR,48.0,5.0,11.9,1.4,3.1,0.43,0.3,1.2,0.237,1.1,1.9,0.5539999999999999,0.47700000000000004,0.6,0.9,0.636,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,3.6,2105520
Kevon Looney,19-20,C,23.0,GSW,20.0,4.0,13.1,1.5,4.0,0.36700000000000005,0.1,0.7,0.071,1.4,3.3,0.431,0.373,0.5,0.6,0.75,1.4,1.9,3.3,1.0,0.6,0.3,0.6,1.7,3.4,4464286
Brook Lopez,19-20,C,31.0,MIL,68.0,67.0,26.7,4.3,9.9,0.435,1.5,4.8,0.314,2.8,5.1,0.5489999999999999,0.511,1.9,2.2,0.836,0.9,3.7,4.6,1.5,0.7,2.4,1.0,2.4,12.0,12093024
Robin Lopez,19-20,C,31.0,MIL,66.0,5.0,14.5,2.2,4.5,0.49200000000000005,0.5,1.6,0.33299999999999996,1.7,2.9,0.5770000000000001,0.55,0.4,0.8,0.528,0.8,1.6,2.4,0.7,0.2,0.7,1.0,1.5,5.4,4767000
Kevin Love,19-20,PF,31.0,CLE,56.0,56.0,31.8,5.8,13.0,0.45,2.6,7.0,0.374,3.2,6.0,0.537,0.55,3.3,3.9,0.8540000000000001,1.0,8.8,9.8,3.2,0.6,0.3,2.5,1.6,17.6,28900000
Kyle Lowry,19-20,PG,33.0,TOR,58.0,58.0,36.2,5.8,13.8,0.41600000000000004,2.8,8.0,0.35200000000000004,2.9,5.8,0.504,0.518,5.1,5.9,0.857,0.6,4.5,5.0,7.5,1.4,0.4,3.1,3.3,19.4,33296296
Timothé Luwawu-Cabarrot,19-20,SG,24.0,BRK,47.0,2.0,18.1,2.5,5.7,0.435,1.3,3.4,0.38799999999999996,1.2,2.3,0.505,0.55,1.5,1.7,0.852,0.6,2.1,2.7,0.6,0.4,0.1,0.8,2.3,7.8,654468
Trey Lyles,19-20,PF,24.0,SAS,63.0,53.0,20.2,2.4,5.4,0.446,1.0,2.7,0.387,1.4,2.8,0.503,0.541,0.5,0.7,0.733,1.1,4.6,5.7,1.1,0.4,0.4,0.6,1.6,6.4,5500000
J.P. Macura,19-20,SG,24.0,CLE,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81678
Josh Magette,19-20,PG,30.0,ORL,8.0,0.0,4.8,0.6,1.9,0.33299999999999996,0.1,0.5,0.25,0.5,1.4,0.364,0.36700000000000005,0.1,0.3,0.5,0.1,0.6,0.8,0.6,0.4,0.1,0.6,0.5,1.5,81678
Ian Mahinmi,19-20,C,33.0,WAS,38.0,35.0,21.3,2.7,5.5,0.495,0.1,0.7,0.192,2.6,4.8,0.5379999999999999,0.507,1.8,3.0,0.619,2.1,3.7,5.7,1.3,0.8,1.2,1.2,3.0,7.4,15450051
Thon Maker,19-20,C,22.0,DET,60.0,14.0,12.9,1.6,3.2,0.48200000000000004,0.4,1.1,0.344,1.2,2.2,0.55,0.539,1.2,1.8,0.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7,3569643
Terance Mann,19-20,SG,23.0,LAC,41.0,6.0,8.8,0.9,1.9,0.46799999999999997,0.2,0.5,0.35,0.7,1.4,0.508,0.513,0.4,0.7,0.667,0.2,1.1,1.3,1.3,0.3,0.1,0.4,1.1,2.4,1000000
Boban Marjanović,19-20,C,31.0,DAL,44.0,5.0,9.6,2.8,4.8,0.573,0.1,0.4,0.235,2.7,4.4,0.603,0.583,1.0,1.3,0.754,1.5,3.0,4.5,0.5,0.2,0.2,0.7,1.3,6.6,3500000
Lauri Markkanen,19-20,PF,22.0,CHI,50.0,50.0,29.8,5.0,11.8,0.425,2.2,6.3,0.344,2.8,5.5,0.518,0.517,2.5,3.1,0.8240000000000001,1.2,5.1,6.3,1.5,0.8,0.5,1.6,1.9,14.7,5300400
Caleb Martin,19-20,SF,24.0,CHO,18.0,1.0,17.6,2.1,4.7,0.44,1.1,2.1,0.541,0.9,2.6,0.36200000000000004,0.56,0.9,1.2,0.81,0.6,1.6,2.1,1.3,0.7,0.4,0.8,1.8,6.2,898310
Cody Martin,19-20,SF,24.0,CHO,48.0,3.0,18.8,1.9,4.3,0.43,0.4,1.6,0.23399999999999999,1.5,2.7,0.546,0.473,0.9,1.4,0.6459999999999999,0.8,2.5,3.3,2.0,0.8,0.2,0.9,1.6,5.0,1173310
Wesley Matthews,19-20,SG,33.0,MIL,67.0,67.0,24.4,2.5,6.3,0.396,1.6,4.4,0.364,0.9,1.9,0.47200000000000003,0.524,0.8,1.0,0.765,0.3,2.1,2.5,1.4,0.6,0.1,0.6,1.5,7.4,2564753
Luc Mbah a Moute,19-20,PF,33.0,HOU,3.0,0.0,8.3,0.7,1.7,0.4,0.0,0.7,0.0,0.7,1.0,0.667,0.4,0.3,0.7,0.5,0.3,0.3,0.7,0.0,0.7,0.0,0.3,0.0,1.7,289803
Patrick McCaw,19-20,SF,24.0,TOR,37.0,12.0,24.5,1.8,4.4,0.414,0.6,1.9,0.324,1.2,2.5,0.484,0.485,0.4,0.5,0.722,0.5,1.8,2.3,2.1,1.1,0.1,0.8,1.6,4.6,4000000
CJ McCollum,19-20,SG,28.0,POR,70.0,70.0,36.5,8.7,19.4,0.451,2.8,7.3,0.379,6.0,12.1,0.494,0.522,2.0,2.6,0.757,0.7,3.6,4.2,4.4,0.8,0.6,1.8,2.6,22.2,27556959
T.J. McConnell,19-20,PG,27.0,IND,71.0,3.0,18.7,3.0,5.8,0.516,0.1,0.2,0.294,2.9,5.5,0.525,0.522,0.5,0.6,0.833,0.5,2.1,2.7,5.0,0.8,0.2,1.4,1.0,6.5,3500000
Jalen McDaniels,19-20,PF,22.0,CHO,16.0,0.0,18.3,2.1,4.4,0.47100000000000003,0.6,1.5,0.375,1.5,2.9,0.522,0.536,0.9,1.1,0.8240000000000001,0.9,3.1,4.1,0.8,0.5,0.2,0.7,2.3,5.6,898310
Doug McDermott,19-20,PF,28.0,IND,69.0,0.0,19.9,3.9,7.9,0.488,1.9,4.3,0.435,2.0,3.7,0.5489999999999999,0.605,0.7,0.8,0.828,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,10.3,7333334
JaVale McGee,19-20,C,32.0,LAL,68.0,68.0,16.6,2.9,4.5,0.637,0.0,0.1,0.5,2.8,4.4,0.64,0.642,0.8,1.2,0.6459999999999999,1.8,3.9,5.7,0.5,0.5,1.4,0.8,2.3,6.6,4000000
Rodney McGruder,19-20,SG,28.0,LAC,56.0,4.0,15.6,1.3,3.2,0.39799999999999996,0.4,1.6,0.27,0.9,1.6,0.522,0.46399999999999997,0.3,0.6,0.5589999999999999,0.5,2.2,2.7,0.6,0.5,0.1,0.4,1.3,3.3,4629630
Alfonzo McKinnie,19-20,SF,27.0,CLE,40.0,1.0,14.8,1.8,4.3,0.42700000000000005,0.4,1.6,0.215,1.5,2.7,0.557,0.46799999999999997,0.6,0.8,0.71,0.9,1.9,2.8,0.4,0.6,0.2,0.7,1.8,4.6,1361046
Ben McLemore,19-20,SG,26.0,HOU,71.0,23.0,22.8,3.4,7.7,0.444,2.5,6.4,0.4,0.9,1.3,0.6559999999999999,0.61,0.7,0.9,0.746,0.3,1.9,2.2,0.8,0.6,0.2,0.7,2.2,10.1,2028594
Jordan McRae,19-20,SG,28.0,TOT,37.0,4.0,21.2,4.0,9.9,0.40700000000000003,1.2,3.4,0.35700000000000004,2.8,6.5,0.433,0.469,2.2,2.9,0.7609999999999999,0.5,2.9,3.4,2.5,0.6,0.4,1.2,2.0,11.5,1645357
Nicolò Melli,19-20,C,29.0,NOP,60.0,8.0,17.4,2.3,5.4,0.42100000000000004,1.2,3.4,0.335,1.1,2.0,0.573,0.528,0.9,1.2,0.74,0.6,2.4,3.0,1.4,0.6,0.4,0.8,2.1,6.6,3902439
De'Anthony Melton,19-20,PG,21.0,MEM,60.0,8.0,19.5,2.7,6.7,0.401,0.7,2.3,0.28600000000000003,2.0,4.4,0.46399999999999997,0.451,1.6,2.0,0.769,0.7,3.0,3.7,2.9,1.3,0.3,1.4,1.8,7.6,1416852
Chimezie Metu,19-20,PF,22.0,SAS,18.0,0.0,5.8,1.3,2.3,0.5710000000000001,0.0,0.1,0.0,1.3,2.2,0.6,0.5710000000000001,0.6,0.7,0.769,0.7,1.2,1.8,0.6,0.2,0.3,0.6,0.4,3.2,1416852
Khris Middleton,19-20,SF,28.0,MIL,62.0,59.0,29.9,7.6,15.3,0.49700000000000005,2.4,5.7,0.415,5.2,9.6,0.546,0.575,3.4,3.7,0.9159999999999999,0.7,5.5,6.2,4.3,0.9,0.1,2.2,2.3,20.9,30603448
Eric Mika,19-20,PF,25.0,SAC,1.0,0.0,19.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,2.0,2.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,6.0,50752
C.J. Miles,19-20,SG,32.0,WAS,10.0,0.0,16.1,1.9,5.9,0.322,1.1,3.5,0.314,0.8,2.4,0.33299999999999996,0.415,1.5,2.0,0.75,0.4,0.8,1.2,1.2,1.0,0.4,0.4,1.4,6.4,8730158
Malcolm Miller,19-20,SF,26.0,TOR,28.0,1.0,5.8,0.4,1.0,0.414,0.3,0.8,0.364,0.1,0.3,0.5710000000000001,0.552,0.1,0.3,0.375,0.1,0.5,0.6,0.4,0.2,0.1,0.1,0.6,1.3,1588231
Patty Mills,19-20,PG,31.0,SAS,66.0,1.0,22.5,3.9,9.1,0.431,2.3,6.1,0.382,1.6,3.0,0.5329999999999999,0.56,1.5,1.7,0.866,0.3,1.3,1.6,1.8,0.8,0.1,0.8,1.6,11.6,12428571
Paul Millsap,19-20,PF,34.0,DEN,51.0,48.0,24.3,4.1,8.6,0.48200000000000004,1.1,2.4,0.435,3.1,6.2,0.5,0.5429999999999999,2.3,2.8,0.816,1.9,3.8,5.7,1.6,0.9,0.6,1.4,2.9,11.6,30500000
Shake Milton,19-20,SG,23.0,PHI,40.0,24.0,20.1,3.4,6.9,0.484,1.5,3.4,0.43,1.9,3.6,0.535,0.588,1.3,1.6,0.785,0.4,1.8,2.2,2.6,0.5,0.2,1.2,2.3,9.4,1445697
Donovan Mitchell,19-20,SG,23.0,UTA,69.0,69.0,34.3,8.7,19.4,0.449,2.5,6.9,0.366,6.2,12.6,0.494,0.513,4.0,4.7,0.863,0.8,3.6,4.4,4.3,1.0,0.2,2.7,2.5,24.0,3635760
Malik Monk,19-20,SG,21.0,CHO,55.0,1.0,21.3,3.9,8.9,0.434,1.1,3.7,0.284,2.8,5.2,0.542,0.494,1.5,1.8,0.82,0.5,2.4,2.9,2.1,0.5,0.3,1.4,1.3,10.3,4028400
E'Twaun Moore,19-20,SG,30.0,NOP,56.0,6.0,18.2,3.3,7.8,0.426,1.1,3.0,0.377,2.2,4.8,0.456,0.498,0.6,0.8,0.6890000000000001,0.6,1.8,2.3,1.4,0.6,0.2,0.7,1.4,8.3,8664928
Ja Morant,19-20,PG,20.0,MEM,67.0,67.0,31.0,6.7,14.0,0.47700000000000004,0.9,2.7,0.335,5.8,11.3,0.511,0.509,3.6,4.6,0.7759999999999999,0.8,3.1,3.9,7.3,0.9,0.3,3.3,1.6,17.8,8730240
Juwan Morgan,19-20,PF,22.0,UTA,21.0,0.0,6.4,0.7,1.2,0.5770000000000001,0.1,0.4,0.375,0.6,0.9,0.667,0.635,0.1,0.2,0.75,0.5,0.9,1.4,0.3,0.0,0.1,0.3,0.9,1.7,746054
Marcus Morris,19-20,SF-PF,30.0,TOT,62.0,62.0,31.2,5.7,13.1,0.43799999999999994,2.3,5.6,0.408,3.4,7.5,0.461,0.526,2.9,3.5,0.823,1.0,4.1,5.0,1.4,0.8,0.5,1.6,2.9,16.7,15000000
Markieff Morris,19-20,PF,30.0,TOT,58.0,17.0,20.5,3.5,7.9,0.44299999999999995,1.5,3.9,0.386,2.0,4.0,0.5,0.539,1.1,1.5,0.7759999999999999,0.7,3.1,3.8,1.3,0.5,0.3,1.3,2.3,9.7,2241808
Monte Morris,19-20,PG,24.0,DEN,73.0,12.0,22.4,3.6,7.8,0.45899999999999996,0.9,2.4,0.37799999999999995,2.7,5.4,0.495,0.517,1.0,1.2,0.843,0.3,1.5,1.9,3.5,0.8,0.2,0.7,1.0,9.0,1588231
Emmanuel Mudiay,19-20,PG,23.0,UTA,54.0,2.0,15.7,2.8,6.1,0.462,0.6,1.6,0.345,2.2,4.4,0.504,0.508,1.2,1.5,0.759,0.3,2.0,2.3,2.1,0.4,0.2,1.4,1.3,7.3,1737145
Mychal Mulder,19-20,SG,25.0,GSW,7.0,3.0,29.1,3.7,9.6,0.38799999999999996,2.3,7.4,0.308,1.4,2.1,0.667,0.507,1.3,1.7,0.75,0.4,2.9,3.3,1.1,0.3,0.1,0.7,2.9,11.0,187782
Dejounte Murray,19-20,PG,23.0,SAS,66.0,58.0,25.6,4.5,9.7,0.462,0.6,1.7,0.369,3.8,8.0,0.48100000000000004,0.494,1.4,1.7,0.7979999999999999,1.0,4.8,5.8,4.1,1.7,0.3,1.9,2.2,10.9,2321735
Jamal Murray,19-20,PG,22.0,DEN,59.0,59.0,32.3,6.9,15.2,0.456,1.9,5.5,0.34600000000000003,5.0,9.7,0.519,0.519,2.8,3.1,0.8809999999999999,0.8,3.2,4.0,4.8,1.1,0.3,2.2,1.7,18.5,4444746
Džanan Musa,19-20,SF,20.0,BRK,40.0,0.0,12.2,1.6,4.3,0.37200000000000005,0.5,2.0,0.244,1.1,2.4,0.479,0.42700000000000005,1.1,1.5,0.75,0.5,1.6,2.2,1.1,0.4,0.0,0.9,0.8,4.8,1911600
Mike Muscala,19-20,C,28.0,OKC,47.0,2.0,12.2,1.6,4.0,0.40700000000000003,1.1,3.0,0.37799999999999995,0.5,1.0,0.5,0.55,0.4,0.5,0.818,0.3,2.0,2.3,0.9,0.2,0.3,0.4,1.2,4.8,2028594
Sviatoslav Mykhailiuk,19-20,SF,22.0,DET,56.0,27.0,22.6,3.0,7.2,0.41,2.1,5.1,0.40399999999999997,0.9,2.1,0.425,0.552,1.0,1.3,0.8140000000000001,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0,1416852
Abdel Nader,19-20,SF,26.0,OKC,55.0,6.0,15.8,2.2,4.8,0.46799999999999997,0.9,2.3,0.375,1.4,2.5,0.556,0.5589999999999999,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3,1618520
Shabazz Napier,19-20,PG,28.0,TOT,56.0,32.0,24.0,3.4,8.1,0.41200000000000003,1.4,4.3,0.317,2.0,3.9,0.519,0.496,2.3,2.7,0.8240000000000001,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3,1882867
Raul Neto,19-20,PG,27.0,PHI,54.0,3.0,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1,1737145
Malik Newman,19-20,SG,22.0,CLE,1.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50752
Georges Niang,19-20,PF,26.0,UTA,66.0,1.0,14.0,2.1,4.9,0.43799999999999994,1.4,3.4,0.4,0.8,1.5,0.526,0.578,0.3,0.4,0.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9,1678854
Joakim Noah,19-20,C,34.0,LAC,5.0,0.0,10.0,0.8,1.6,0.5,0.0,0.0,,0.8,1.6,0.5,0.5,1.2,1.6,0.75,1.0,2.2,3.2,1.4,0.2,0.2,1.2,1.8,2.8,6431666
Nerlens Noel,19-20,C,25.0,OKC,61.0,7.0,18.5,3.0,4.4,0.684,0.0,0.0,0.33299999999999996,3.0,4.4,0.688,0.6859999999999999,1.3,1.7,0.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4,2028594
Zach Norvell,19-20,SG,22.0,TOT,5.0,0.0,8.2,0.6,2.4,0.25,0.6,1.6,0.375,0.0,0.8,0.0,0.375,0.2,0.2,1.0,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0,50752
Jaylen Nowell,19-20,SG,20.0,MIN,15.0,0.0,10.1,1.3,3.5,0.358,0.2,1.7,0.115,1.1,1.8,0.593,0.387,1.1,1.1,0.941,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8,1400000
Frank Ntilikina,19-20,PG,21.0,NYK,57.0,26.0,20.8,2.3,5.8,0.39299999999999996,0.8,2.4,0.321,1.5,3.4,0.444,0.45899999999999996,0.9,1.0,0.8640000000000001,0.4,1.7,2.1,3.0,0.9,0.3,1.2,2.5,6.3,4855800
Kendrick Nunn,19-20,SG,24.0,MIA,67.0,67.0,29.3,6.0,13.6,0.439,2.0,5.8,0.35,3.9,7.8,0.505,0.514,1.3,1.5,0.85,0.3,2.4,2.7,3.3,0.8,0.2,1.7,2.3,15.3,1416852
Jusuf Nurkić,19-20,C,25.0,POR,8.0,8.0,31.6,6.8,13.6,0.495,0.3,1.3,0.2,6.5,12.4,0.525,0.505,3.9,4.4,0.8859999999999999,2.9,7.4,10.3,4.0,1.4,2.0,2.4,4.9,17.6,12000000
David Nwaba,19-20,SF,27.0,BRK,20.0,0.0,13.4,1.9,3.6,0.521,0.6,1.4,0.429,1.3,2.2,0.581,0.606,0.9,1.4,0.667,0.4,1.9,2.3,0.4,0.6,0.6,0.4,1.6,5.2,1678854
Royce O'Neale,19-20,PF,26.0,UTA,71.0,62.0,28.9,2.2,5.1,0.433,1.3,3.4,0.377,0.9,1.7,0.545,0.5589999999999999,0.6,0.8,0.764,0.4,5.1,5.5,2.5,0.8,0.5,0.9,2.8,6.3,1618520
Kyle O'Quinn,19-20,C,29.0,PHI,29.0,2.0,10.8,1.4,2.9,0.494,0.2,0.9,0.259,1.2,2.0,0.603,0.535,0.4,0.7,0.55,1.2,2.8,4.0,1.8,0.2,0.8,0.7,1.3,3.5,2028594
Semi Ojeleye,19-20,PF,25.0,BOS,69.0,6.0,14.7,1.2,2.8,0.408,0.7,1.8,0.37799999999999995,0.5,1.0,0.46399999999999997,0.531,0.4,0.5,0.875,0.4,1.7,2.1,0.5,0.3,0.1,0.3,1.2,3.4,1618520
Jahlil Okafor,19-20,C,24.0,NOP,30.0,9.0,15.6,3.4,5.4,0.623,0.0,0.1,0.33299999999999996,3.3,5.3,0.629,0.627,1.3,2.1,0.645,1.6,2.6,4.2,1.2,0.2,0.7,1.3,2.2,8.1,1702486
Elie Okobo,19-20,PG,22.0,PHO,55.0,3.0,13.1,1.3,3.3,0.39799999999999996,0.5,1.3,0.35200000000000004,0.9,2.0,0.42700000000000005,0.467,0.9,1.3,0.7040000000000001,0.3,1.3,1.6,2.1,0.4,0.1,0.7,1.0,4.0,1416852
Josh Okogie,19-20,SG,21.0,MIN,62.0,28.0,25.0,2.7,6.4,0.42700000000000005,0.7,2.5,0.266,2.1,3.9,0.529,0.479,2.5,3.1,0.7959999999999999,1.4,2.9,4.3,1.6,1.1,0.4,1.4,2.2,8.6,2530680
KZ Okpala,19-20,SF,20.0,MIA,5.0,0.0,5.2,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4,898310
