Rk,Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
362.0,Abdel Nader,19-20,SF,26.0,OKC,55.0,6.0,15.8,2.2,4.8,0.46799999999999997,0.9,2.3,0.375,1.4,2.5,0.556,0.5589999999999999,0.9,1.2,0.773,0.3,1.6,1.8,0.7,0.4,0.4,0.8,1.4,6.3
363.0,Larry Nance Jr.,19-20,C,27.0,CLE,56.0,10.0,26.3,4.1,7.7,0.531,1.0,2.8,0.35200000000000004,3.1,4.9,0.636,0.596,0.9,1.3,0.6759999999999999,1.9,5.4,7.3,2.2,1.0,0.4,1.1,1.6,10.1
364.0,Shabazz Napier,19-20,PG,28.0,TOT,56.0,32.0,24.0,3.4,8.1,0.41200000000000003,1.4,4.3,0.317,2.0,3.9,0.519,0.496,2.3,2.7,0.8240000000000001,0.5,2.4,2.8,4.7,1.2,0.2,2.3,1.8,10.3
365.0,Raul Neto,19-20,PG,27.0,PHI,54.0,3.0,12.4,1.9,4.1,0.455,0.6,1.6,0.386,1.2,2.5,0.5,0.532,0.7,0.9,0.83,0.2,0.9,1.1,1.8,0.4,0.1,0.9,0.9,5.1
366.0,Malik Newman,19-20,SG,22.0,CLE,1.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
367.0,Georges Niang,19-20,PF,26.0,UTA,66.0,1.0,14.0,2.1,4.9,0.43799999999999994,1.4,3.4,0.4,0.8,1.5,0.526,0.578,0.3,0.4,0.833,0.2,1.7,1.9,0.7,0.3,0.1,0.5,1.1,5.9
368.0,Joakim Noah,19-20,C,34.0,LAC,5.0,0.0,10.0,0.8,1.6,0.5,0.0,0.0,,0.8,1.6,0.5,0.5,1.2,1.6,0.75,1.0,2.2,3.2,1.4,0.2,0.2,1.2,1.8,2.8
369.0,Nerlens Noel,19-20,C,25.0,OKC,61.0,7.0,18.5,3.0,4.4,0.684,0.0,0.0,0.33299999999999996,3.0,4.4,0.688,0.6859999999999999,1.3,1.7,0.755,1.5,3.4,4.9,0.9,1.0,1.5,1.1,2.7,7.4
370.0,Zach Norvell,19-20,SG,22.0,TOT,5.0,0.0,8.2,0.6,2.4,0.25,0.6,1.6,0.375,0.0,0.8,0.0,0.375,0.2,0.2,1.0,0.0,1.2,1.2,0.6,0.4,0.0,0.6,0.8,2.0
371.0,Jaylen Nowell,19-20,SG,20.0,MIN,15.0,0.0,10.1,1.3,3.5,0.358,0.2,1.7,0.115,1.1,1.8,0.593,0.387,1.1,1.1,0.941,0.2,0.7,0.9,1.3,0.2,0.1,0.2,0.7,3.8
