Player,Rk,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2019-20
Jordan Clarkson,103.0,19-20,SG,25.0,TOT,78.8,20.4,27.22,5.82,13.12,0.4462,1.6200000000000003,4.720000000000001,0.344,4.220000000000001,8.379999999999999,0.5056,0.5086,1.9,2.32,0.8164000000000001,0.8400000000000001,2.28,3.12,2.4,0.8399999999999999,0.13999999999999999,1.6799999999999997,1.6199999999999999,15.219999999999999,13437500
Josh Richardson,420.0,19-20,SG,24.0,PHI,62.8,48.6,30.120000000000005,4.3999999999999995,10.319999999999999,0.42780000000000007,1.5400000000000003,4.279999999999999,0.37340000000000007,2.8200000000000003,6.040000000000001,0.46580000000000005,0.5056,1.6400000000000001,2.06,0.7921999999999999,0.6799999999999999,2.44,3.12,2.7800000000000002,1.06,0.6599999999999999,1.4,2.46,12.000000000000002,10100000
Jrue Holiday,223.0,19-20,SG,27.0,NOP,68.2,58.6,33.519999999999996,7.119999999999999,15.38,0.4628,1.6199999999999999,4.74,0.34140000000000004,5.5200000000000005,10.64,0.5161999999999999,0.5154,2.4200000000000004,3.1399999999999997,0.7628,0.8600000000000001,3.400000000000001,4.24,6.74,1.52,0.68,2.84,2.28,18.3,26131111
Julius Randle,415.0,19-20,PF,23.0,NYK,74.8,59.0,29.359999999999996,6.12,12.459999999999999,0.4917999999999999,0.4600000000000001,1.6200000000000003,0.2782,5.66,10.86,0.5194,0.5088,3.56,4.9,0.724,2.18,6.88,9.040000000000001,2.8400000000000003,0.68,0.45999999999999996,2.5,3.18,16.3,18000000
Justin Anderson,10.0,19-20,SF,24.0,BRK,45.2,4.8,12.440000000000001,1.6800000000000002,4.299999999999999,0.38639999999999997,0.6399999999999999,2.2600000000000002,0.28259999999999996,1.04,2.04,0.5068,0.4600000000000001,0.72,0.96,0.7142,0.4999999999999999,1.9,2.4000000000000004,0.6799999999999999,0.33999999999999997,0.38,0.52,1.1999999999999997,4.72,196288
Justin Holiday,224.0,19-20,SG,28.0,IND,72.4,32.8,24.58,3.0,7.6,0.4008,1.58,4.34,0.362,1.44,3.2,0.4484,0.5035999999999999,1.02,1.24,0.813,0.38,2.7399999999999998,3.1199999999999997,1.5,1.04,0.43999999999999995,0.9400000000000001,1.6599999999999997,8.64,4767000
Justise Winslow,520.0,19-20,SF,21.0,MIA,48.2,21.0,29.940000000000005,3.8600000000000003,9.72,0.4046,0.7,2.3400000000000003,0.2906,3.2,7.42,0.43760000000000004,0.442,1.3,2.04,0.6462,1.1400000000000001,4.42,5.56,3.1399999999999997,0.96,0.38,1.7,2.72,9.8,13000000
Jusuf Nurkić,374.0,19-20,C,23.0,POR,51.2,42.0,24.78,5.22,10.58,0.48640000000000005,0.06,0.38000000000000006,0.06060000000000001,5.159999999999999,10.219999999999999,0.4974,0.4888,2.74,3.8600000000000003,0.6952,2.62,5.84,8.48,2.4400000000000004,0.96,1.4600000000000002,2.1799999999999997,3.3600000000000003,13.180000000000001,12000000
Karl-Anthony Towns,476.0,19-20,C,22.0,MIN,71.6,71.6,34.32,8.600000000000001,16.259999999999998,0.531,1.64,4.1,0.3882,6.9799999999999995,12.180000000000001,0.5748000000000001,0.5798000000000001,4.24,5.16,0.8266,3.0799999999999996,8.580000000000002,11.66,2.9800000000000004,0.8,1.44,2.5799999999999996,3.3,23.12,27250000
Kawhi Leonard,294.0,19-20,SF,26.0,LAC,54.4,54.4,31.24,8.14,16.759999999999998,0.485,1.8199999999999998,4.76,0.37720000000000004,6.359999999999999,12.0,0.5288,0.5388,5.220000000000001,6.039999999999999,0.8620000000000001,1.06,5.26,6.34,3.3200000000000003,1.8399999999999999,0.74,2.0,1.5799999999999998,23.32,32742000
