team,salary,player,position,season
Oklahoma City Thunder,2242003.0,Nick Collison, F,2014-2015
Cleveland Cavaliers,2213668.0,Brendan Haywood, C,2014-2015
Oklahoma City Thunder,2204369.0,Reggie Jackson, PG,2014-2015
Oklahoma City Thunder,2202000.0,Jeremy Lamb, SG,2014-2015
Oklahoma City Thunder,2184960.0,Steven Adams, C,2014-2015
Boston Celtics,2090000.0,Vitor Faverani, C,2014-2015
Washington Wizards,2077000.0,Ramon Sessions, G,2014-2015
LA Clippers,2077000.0,Jordan Farmar, PG,2014-2015
Miami Heat,2077000.0,Danny Granger, SF,2014-2015
Houston Rockets,2077000.0,Josh Smith, PF,2014-2015
San Antonio Spurs,2077000.0,Aron Baynes, C,2014-2015
Boston Celtics,2075760.0,Kelly Olynyk, PF,2014-2015
Minnesota Timberwolves,2055840.0,Zach LaVine, PG,2014-2015
Miami Heat,2038206.0,Norris Cole, PG,2014-2015
San Antonio Spurs,2023261.0,Cory Joseph, PG,2014-2015
Chicago Bulls,2008748.0,Jimmy Butler, SG,2014-2015
Atlanta Hawks,2000000.0,Elton Brand, PF,2014-2015
Washington Wizards,2000000.0,DeJuan Blair, C,2014-2015
New Orleans Pelicans,2000000.0,John Salmons, SF,2014-2015
Atlanta Hawks,2000000.0,Kent Bazemore, SG,2014-2015
Milwaukee Bucks,1987320.0,John Henson, F,2014-2015
Minnesota Timberwolves,1971960.0,Shabazz Muhammad, F,2014-2015
Phoenix Suns,1953120.0,TJ Warren, SF,2014-2015
Orlando Magic,1887840.0,Maurice Harkless, SF,2014-2015
Milwaukee Bucks,1873200.0,Giannis Antetokounmpo, PF,2014-2015
Minnesota Timberwolves,1855320.0,Adreian Payne, PF,2014-2015
San Antonio Spurs,1828750.0,Jeff Ayres, F,2014-2015
Madrid Real Madrid,1825359.0,Anthony Randolph, SF,2014-2015
Utah Jazz,1794871.0,Jeremy Evans, F,2014-2015
Denver Nuggets,1790281.0,Joffrey Lauvergne, F,2014-2015
Sacramento Kings,1768653.0,Reggie Evans, C,2014-2015
Toronto Raptors,1762680.0,Lucas Nogueira, C,2014-2015
Denver Nuggets,1762680.0,Jusuf Nurkic, C,2014-2015
Detroit Pistons,1750000.0,Luigi Datome, SF,2014-2015
Phoenix Suns,1706225.0,Zoran Dragic, SG,2014-2015
Boston Celtics,1703760.0,Tyler Zeller, C,2014-2015
Atlanta Hawks,1690680.0,Dennis Schroder, PG,2014-2015
Boston Celtics,1674480.0,James Young, G,2014-2015
New York Knicks,1662961.0,Pablo Prigioni, PG,2014-2015
Los Angeles Lakers,1650000.0,Ryan Kelly, PF,2014-2015
Houston Rockets,1618680.0,Terrence Jones, PF,2014-2015
New York Knicks,1606080.0,Shane Larkin, G,2014-2015
Phoenix Suns,1590720.0,Tyler Ennis, G,2014-2015
Orlando Magic,1545840.0,Andrew Nicholson, PF,2014-2015
Brooklyn Nets,1533840.0,Sergey Karasev, SG,2014-2015
Denver Nuggets,1519200.0,Gary Harris, SG,2014-2015
Minnesota Timberwolves,1500000.0,Ronny Turiaf, C,2014-2015
Minnesota Timberwolves,1500000.0,Miroslav Raduljica, C,2014-2015
Orlando Magic,1483920.0,Evan Fournier, SG,2014-2015
Houston Rockets,1483920.0,Donatas Motiejunas, PF,2014-2015
Chicago Bulls,1472400.0,Tony Snell, SG,2014-2015
Toronto Raptors,1458360.0,Bruno Caboclo, F,2014-2015
Oklahoma City Thunder,1450878.0,Scotty Hopson, G,2014-2015
Orlando Magic,1448490.0,Willie Green, SG,2014-2015
New York Knicks,1448490.0,Lamar Odom, PF,2014-2015
Chicago Bulls,1448490.0,Mike James, PG,2014-2015
Boston Celtics,1424520.0,Jared Sullinger, C,2014-2015
Minnesota Timberwolves,1413480.0,Gorgui Dieng, C,2014-2015
Oklahoma City Thunder,1400040.0,Mitch McGary, PF,2014-2015
Portland Trail Blazers,1370000.0,Victor Claver, PF,2014-2015
Brooklyn Nets,1357080.0,Mason Plumlee, PF,2014-2015
Memphis Grizzlies,1344120.0,Jordan Adams, SG,2014-2015
Washington Wizards,1316809.0,Melvin Ely, C,2014-2015
Atlanta Hawks,1312920.0,John Jenkins, G,2014-2015
Milwaukee Bucks,1310286.0,Josh Powell, PF,2014-2015
Chicago Bulls,1310286.0,Ronnie Brewer, SF,2014-2015
Indiana Pacers,1302840.0,Solomon Hill, SF,2014-2015
Utah Jazz,1290360.0,Rodney Hood, SG,2014-2015
Brooklyn Nets,1276061.0,Alan Anderson, SG,2014-2015
New York Knicks,1250640.0,Tim Hardaway Jr., G,2014-2015
Detroit Pistons,1250000.0,Hasheem Thabeet, C,2014-2015
Atlanta Hawks,1250000.0,Pero Antic, PF,2014-2015
Miami Heat,1238640.0,Shabazz Napier, PG,2014-2015
Detroit Pistons,1227985.0,Aaron Gray, C,2014-2015
Miami Heat,1227985.0,Shawne Williams, SF,2014-2015
Phoenix Suns,1227985.0,Shavlik Randolph, PF,2014-2015
Philadelphia 76ers,1210080.0,Tony Wroten, SG,2014-2015
Phoenix Suns,1200720.0,Reggie Bullock, SG,2014-2015
Houston Rockets,1189200.0,Clint Capela, C,2014-2015
Phoenix Suns,1169880.0,Miles Plumlee, C,2014-2015
Oklahoma City Thunder,1160880.0,Andre Roberson, SG,2014-2015
Charlotte Hornets,1149720.0,P.J. Hairston, SF,2014-2015
Golden State Warriors,1145685.0,Hilton Armstrong, PF,2014-2015
Golden State Warriors,1145685.0,Brandon Rush, SG,2014-2015
Detroit Pistons,1145685.0,Cartier Martin, PF,2014-2015
New York Knicks,1136160.0,Arnett Moultrie, PF,2014-2015
Oklahoma City Thunder,1129200.0,Perry Jones, SF,2014-2015
Utah Jazz,1127400.0,Rudy Gobert, C,2014-2015
Memphis Grizzlies,1120920.0,Marquis Teague, G,2014-2015
Golden State Warriors,1112880.0,Festus Ezeli, C,2014-2015
Phoenix Suns,1112280.0,Archie Goodwin, SG,2014-2015
LA Clippers,1109760.0,CJ Wilcox, G,2014-2015
Golden State Warriors,1104240.0,Nemanja Nedovic, PG,2014-2015
Indiana Pacers,1100000.0,Damjan Rudez, SF,2014-2015
San Antonio Spurs,1093680.0,Kyle Anderson, SF,2014-2015
Oklahoma City Thunder,1090000.0,Kyle Singler, F,2014-2015
Los Angeles Lakers,1082000.0,Xavier Henry, SG,2014-2015
Philadelphia 76ers,1000000.0,Robert Covington, SF,2014-2015
Dallas Mavericks,981084.0,Al-Farouq Aminu, PF,2014-2015
Washington Wizards,981084.0,Garrett Temple, SG,2014-2015
New Orleans Pelicans,981084.0,Alexis Ajinca, C,2014-2015
Memphis Grizzlies,967500.0,Jon Leuer, PF,2014-2015
Dallas Mavericks,948163.0,Greg Smith, PF,2014-2015
Washington Wizards,948163.0,Josh Harrellson, C,2014-2015
Indiana Pacers,948163.0,Donald Sloan, G,2014-2015
Houston Rockets,948163.0,Jeremy Tyler, C,2014-2015
Chicago Bulls,948163.0,E'Twaun Moore, G,2014-2015
Washington Wizards,915243.0,Rasual Butler, SF,2014-2015
Minnesota Timberwolves,915243.0,Kyrylo Fesenko, C,2014-2015
Washington Wizards,915243.0,Drew Gooden, PF,2014-2015
Charlotte Hornets,915243.0,Jannero Pargo, PG,2014-2015
Charlotte Hornets,915243.0,Jason Maxiell, PF,2014-2015
Charlotte Hornets,915243.0,Jeffery Taylor, SF,2014-2015
Sacramento Kings,915243.0,Ryan Hollins, C,2014-2015
LA Clippers,915243.0,Ekpe Udoh, C,2014-2015
Cleveland Cavaliers,915243.0,Shawn Marion, SG,2014-2015
New York Knicks,915243.0,Cole Aldrich, C,2014-2015
