team,salary,player,position,season
Indiana Pacers,2016000.0,C.J. Watson, PG,2013-2014
Denver Nuggets,2016000.0,Nate Robinson, PG,2013-2014
Golden State Warriors,2000000.0,Jermaine O'Neal, C,2013-2014
Boston Celtics,2000000.0,Vitor Faverani, C,2013-2014
Phoenix Suns,1987320.0,Marcus Morris, PF,2013-2014
Boston Celtics,1986360.0,Kelly Olynyk, PF,2013-2014
Milwaukee Bucks,1905360.0,John Henson, F,2013-2014
LA Clippers,1900000.0,Darren Collison, PG,2013-2014
San Antonio Spurs,1887840.0,Kawhi Leonard, SF,2013-2014
Minnesota Timberwolves,1887120.0,Shabazz Muhammad, F,2013-2014
Orlando Magic,1809840.0,Maurice Harkless, SF,2013-2014
Orlando Magic,1793520.0,Nikola Vucevic, C,2013-2014
Milwaukee Bucks,1792560.0,Giannis Antetokounmpo, PF,2013-2014
Denver Nuggets,1750000.0,Anthony Randolph, SF,2013-2014
San Antonio Spurs,1750000.0,Jeff Ayres, F,2013-2014
Detroit Pistons,1750000.0,Luigi Datome, SF,2013-2014
New York Knicks,1703760.0,Iman Shumpert, SG,2013-2014
Sacramento Kings,1695635.0,Reggie Evans, C,2013-2014
Utah Jazz,1660257.0,Jeremy Evans, F,2013-2014
Cleveland Cavaliers,1633440.0,Tyler Zeller, C,2013-2014
Washington Wizards,1618680.0,Chris Singleton, SF,2013-2014
Miami Heat,1600000.0,Toney Douglas, PG,2013-2014
Utah Jazz,1600000.0,John Lucas III, PG,2013-2014
New York Knicks,1591350.0,Pablo Prigioni, PG,2013-2014
Houston Rockets,1551840.0,Terrence Jones, PF,2013-2014
Los Angeles Lakers,1550000.0,Jodie Meeks, SG,2013-2014
Orlando Magic,1545840.0,Tobias Harris, SF,2013-2014
Dallas Mavericks,1536960.0,Shane Larkin, G,2013-2014
Minnesota Timberwolves,1500000.0,Ronny Turiaf, C,2013-2014
Milwaukee Bucks,1500000.0,Miroslav Raduljica, C,2013-2014
Miami Heat,1500000.0,James Jones, SG,2013-2014
Atlanta Hawks,1500000.0,Gustavo Ayon, PF,2013-2014
Orlando Magic,1482000.0,Andrew Nicholson, PF,2013-2014
Cleveland Cavaliers,1467840.0,Sergey Karasev, SG,2013-2014
Toronto Raptors,1463000.0,Nando De Colo, PG,2013-2014
Denver Nuggets,1422720.0,Evan Fournier, SG,2013-2014
Houston Rockets,1422720.0,Donatas Motiejunas, PF,2013-2014
Chicago Bulls,1409040.0,Tony Snell, SG,2013-2014
LA Clippers,1399507.0,Willie Green, SG,2013-2014
Miami Heat,1399507.0,Rashard Lewis, PF,2013-2014
Miami Heat,1399507.0,Chris Andersen, PF,2013-2014
Cleveland Cavaliers,1388400.0,Scotty Hopson, G,2013-2014
Brooklyn Nets,1375604.0,Andray Blatche, C,2013-2014
Denver Nuggets,1367640.0,Kenneth Faried, PF,2013-2014
Boston Celtics,1365720.0,Jared Sullinger, C,2013-2014
Minnesota Timberwolves,1352640.0,Gorgui Dieng, C,2013-2014
Atlanta Hawks,1348200.0,Dennis Schroder, PG,2013-2014
Portland Trail Blazers,1330000.0,Victor Claver, PF,2013-2014
Brooklyn Nets,1298640.0,Mason Plumlee, PF,2013-2014
Houston Rockets,1265977.0,Francisco Garcia, SG,2013-2014
Oklahoma City Thunder,1260360.0,Reggie Jackson, PG,2013-2014
Atlanta Hawks,1258800.0,John Jenkins, G,2013-2014
Indiana Pacers,1246680.0,Solomon Hill, SF,2013-2014
Los Angeles Lakers,1210080.0,MarShon Brooks, SG,2013-2014
Oklahoma City Thunder,1200000.0,Hasheem Thabeet, C,2013-2014
Atlanta Hawks,1200000.0,Pero Antic, PF,2013-2014
New York Knicks,1196760.0,Tim Hardaway Jr., G,2013-2014
Houston Rockets,1169880.0,Jordan Hamilton, SG,2013-2014
Philadelphia 76ers,1160040.0,Tony Wroten, SG,2013-2014
LA Clippers,1149000.0,Reggie Bullock, SG,2013-2014
San Antonio Spurs,1133950.0,Patty Mills, PG,2013-2014
