team,salary,player,position,season
Charlotte Bobcats,3500000.0,Shaun Livingston, PG,2010-2011
San Antonio Spurs,3400000.0,Tiago Splitter, C,2010-2011
New Jersey Nets,3398072.0,Brandan Wright, F,2010-2011
Sacramento Kings,3374640.0,DeMarcus Cousins, C,2010-2011
New York Knicks,3304560.0,Danilo Gallinari, SF,2010-2011
Miami Heat,3300000.0,Joel Anthony, PF,2010-2011
Cleveland Cavaliers,3300000.0,Kelenna Azubuike, SF,2010-2011
Oklahoma City Thunder,3250000.0,Thabo Sefolosha, SF,2010-2011
Detroit Pistons,3250000.0,Will Bynum, PG,2010-2011
New Jersey Nets,3250000.0,Johan Petro, C,2010-2011
Phoenix Suns,3240000.0,Grant Hill, SF,2010-2011
New Jersey Nets,3200000.0,Kris Humphries, PF,2010-2011
Minnesota Timberwolves,3192000.0,Jonny Flynn, PG,2010-2011
Chicago Bulls,3128536.0,Joakim Noah, C,2010-2011
Golden State Warriors,3065040.0,Ekpe Udoh, C,2010-2011
San Antonio Spurs,3050000.0,Matt Bonner, C,2010-2011
LA Clippers,3016680.0,Eric Gordon, SG,2010-2011
Boston Celtics,3000004.0,Glen Davis, PF,2010-2011
Utah Jazz,3000000.0,Raja Bell, SG,2010-2011
LA Clippers,3000000.0,Jamario Moon, SF,2010-2011
Charlotte Bobcats,3000000.0,Eduardo Najera, PF,2010-2011
Memphis Grizzlies,3000000.0,Tony Allen, SG,2010-2011
Detroit Pistons,3000000.0,Chris Wilcox, PF,2010-2011
Philadelphia 76ers,2974320.0,Spencer Hawes, PF,2010-2011
Golden State Warriors,2913840.0,Stephen Curry, PG,2010-2011
Philadelphia 76ers,2901241.0,Thaddeus Young, PF,2010-2011
Toronto Raptors,2858057.0,Julian Wright, SF,2010-2011
Cleveland Cavaliers,2855769.0,Anthony Parker, SG,2010-2011
Minnesota Timberwolves,2840000.0,Mark Madsen, PF,2010-2011
Detroit Pistons,2798040.0,Greg Monroe, C,2010-2011
Detroit Pistons,2767126.0,Rodney Stuckey, PG,2010-2011
Minnesota Timberwolves,2700000.0,Sebastian Telfair, PG,2010-2011
Houston Rockets,2669520.0,Jordan Hill, C,2010-2011
Washington Wizards,2630503.0,Nick Young, G,2010-2011
LA Clippers,2563320.0,Al-Farouq Aminu, PF,2010-2011
Charlotte Bobcats,2540000.0,D.J. Augustin, PG,2010-2011
Washington Wizards,2500000.0,Maurice Evans, SG,2010-2011
Indiana Pacers,2500000.0,Dahntay Jones, SG,2010-2011
Toronto Raptors,2500000.0,David Andersen, C,2010-2011
Toronto Raptors,2453880.0,DeMar DeRozan, SG,2010-2011
New Jersey Nets,2413320.0,Brook Lopez, C,2010-2011
LA Clippers,2400000.0,Ricky Davis, SG,2010-2011
Boston Celtics,2388000.0,Marquis Daniels, SG,2010-2011
New Orleans Hornets,2380270.0,Marco Belinelli, G,2010-2011
Utah Jazz,2356320.0,Gordon Hayward, SF,2010-2011
Cleveland Cavaliers,2333333.0,Ryan Hollins, C,2010-2011
Milwaukee Bucks,2331120.0,Brandon Jennings, G,2010-2011
Milwaukee Bucks,2320500.0,Ersan Ilyasova, PF,2010-2011
LA Clippers,2300000.0,Craig Smith, PF,2010-2011
Toronto Raptors,2292600.0,Jerryd Bayless, PG,2010-2011
Orlando Magic,2265000.0,Quentin Richardson, SF,2010-2011
Indiana Pacers,2238360.0,Paul George, SF,2010-2011
Golden State Warriors,2225000.0,Lou Amundson, PF,2010-2011
New Jersey Nets,2214480.0,Terrence Williams, SG,2010-2011
Minnesota Timberwolves,2200000.0,Anthony Tolliver, PF,2010-2011
New Orleans Hornets,2187913.0,Jason Smith, PF,2010-2011
Sacramento Kings,2178000.0,Jason Thompson, PF,2010-2011
Oklahoma City Thunder,2169857.0,Daequan Cook, SG,2010-2011
Phoenix Suns,2151068.0,Jared Dudley, SF,2010-2011
Los Angeles Lakers,2149200.0,Shannon Brown, PG,2010-2011
New York Knicks,2130482.0,Wilson Chandler, SF,2010-2011
Oklahoma City Thunder,2126520.0,Cole Aldrich, C,2010-2011
Charlotte Bobcats,2103840.0,Gerald Henderson, SG,2010-2011
Milwaukee Bucks,2080000.0,Keyon Dooling, PG,2010-2011
Detroit Pistons,2080000.0,Ben Wallace, PF,2010-2011
Indiana Pacers,2069040.0,Brandon Rush, SG,2010-2011
Orlando Magic,2062800.0,Anthony Johnson, PG,2010-2011
Houston Rockets,2062800.0,Brent Barry, SG,2010-2011
Memphis Grizzlies,2020200.0,Xavier Henry, SG,2010-2011
Phoenix Suns,2016692.0,Aaron Brooks, G,2010-2011
Indiana Pacers,1998600.0,Tyler Hansbrough, PF,2010-2011
Toronto Raptors,1990000.0,Rasho Nesterovic, C,2010-2011
Houston Rockets,1972500.0,Chuck Hayes, PF,2010-2011
Phoenix Suns,1972000.0,Goran Dragic, PG,2010-2011
New York Knicks,1965720.0,Anthony Randolph, SF,2010-2011
Denver Nuggets,1959577.0,Arron Afflalo, G,2010-2011
Toronto Raptors,1919160.0,Ed Davis, PF,2010-2011
Phoenix Suns,1898760.0,Earl Clark, SF,2010-2011
Phoenix Suns,1867320.0,Robin Lopez, C,2010-2011
Houston Rockets,1823280.0,Patrick Patterson, PF,2010-2011
Houston Rockets,1823280.0,Dikembe Mutombo, C,2010-2011
Dallas Mavericks,1815000.0,J.J. Barea, PG,2010-2011
Detroit Pistons,1803720.0,Austin Daye, SF,2010-2011
Chicago Bulls,1800000.0,Kurt Thomas, PF,2010-2011
Philadelphia 76ers,1773960.0,Marreese Speights, F,2010-2011
Los Angeles Lakers,1765000.0,Matt Barnes, SF,2010-2011
Milwaukee Bucks,1731960.0,Larry Sanders, PF,2010-2011
Chicago Bulls,1721000.0,Omer Asik, C,2010-2011
Toronto Raptors,1713600.0,James Johnson, PF,2010-2011
Indiana Pacers,1685280.0,Roy Hibbert, C,2010-2011
New York Knicks,1675000.0,Renaldo Balkman, SF,2010-2011
Portland Trail Blazers,1645440.0,Luke Babbitt, F,2010-2011
Boston Celtics,1629120.0,Sean Williams, PF,2010-2011
Philadelphia 76ers,1627920.0,Jrue Holiday, PG,2010-2011
Washington Wizards,1601040.0,JaVale McGee, C,2010-2011
Memphis Grizzlies,1600000.0,Hamed Haddadi, C,2010-2011
Chicago Bulls,1600000.0,Keith Bogans, SG,2010-2011
Washington Wizards,1563120.0,Kevin Seraphin, C,2010-2011
Denver Nuggets,1546560.0,Ty Lawson, G,2010-2011
Cleveland Cavaliers,1528920.0,JJ Hickson, C,2010-2011
Indiana Pacers,1500000.0,Solomon Jones, PF,2010-2011
LA Clippers,1485000.0,Eric Bledsoe, PG,2010-2011
Atlanta Hawks,1476840.0,Jeff Teague, PG,2010-2011
Toronto Raptors,1467840.0,Alexis Ajinca, C,2010-2011
Boston Celtics,1418160.0,Avery Bradley, SG,2010-2011
Oklahoma City Thunder,1417800.0,Eric Maynor, PG,2010-2011
Orlando Magic,1409040.0,Ryan Anderson, PF,2010-2011
New York Knicks,1400000.0,Roger Mason Jr., SG,2010-2011
Utah Jazz,1381250.0,Ronnie Price, PG,2010-2011
San Antonio Spurs,1361400.0,James Anderson, SG,2010-2011
Indiana Pacers,1361040.0,Darren Collison, PG,2010-2011
Houston Rockets,1352640.0,Courtney Lee, SG,2010-2011
Miami Heat,1352181.0,Eddie House, SG,2010-2011
Miami Heat,1352181.0,Zydrunas Ilgauskas, C,2010-2011
Boston Celtics,1352181.0,Shaquille O'Neal, C,2010-2011
Milwaukee Bucks,1350000.0,Roko-Leni Ukic, PG,2010-2011
Philadelphia 76ers,1306920.0,Craig Brackins, PF,2010-2011
Minnesota Timberwolves,1298640.0,Kosta Koufos, C,2010-2011
Golden State Warriors,1254720.0,Elliot Williams, SG,2010-2011
Sacramento Kings,1254480.0,Omri Casspi, SF,2010-2011
Portland Trail Blazers,1246680.0,Rudy Fernandez, SG,2010-2011
Washington Wizards,1204560.0,Trevor Booker, F,2010-2011
Oklahoma City Thunder,1204200.0,Serge Ibaka, PF,2010-2011
Oklahoma City Thunder,1204200.0,Byron Mullens, C,2010-2011
Oklahoma City Thunder,1200000.0,Royal Ivey, PG,2010-2011
Portland Trail Blazers,1196760.0,Nicolas Batum, SF,2010-2011
New Jersey Nets,1156320.0,Damion James, SF,2010-2011
Dallas Mavericks,1156080.0,Rodrigue Beaubois, PG,2010-2011
LA Clippers,1146337.0,Brian Cook, PF,2010-2011
Miami Heat,1146337.0,James Jones, SG,2010-2011
Memphis Grizzlies,1123680.0,Darrell Arthur, F,2010-2011
Chicago Bulls,1117680.0,Taj Gibson, PF,2010-2011
