team,salary,player,position,season
Charlotte Hornets,14087500.0,Marvin Williams, PF,2017-2018
Denver Nuggets,14041096.0,Mason Plumlee, PF,2017-2018
Minnesota Timberwolves,14000000.0,Taj Gibson, PF,2017-2018
Charlotte Hornets,12000000.0,Kemba Walker, PG,2017-2018
Utah Jazz,12000000.0,Derrick Favors, PF,2017-2018
Miami Heat,11550000.0,Dion Waiters, SG,2017-2018
Milwaukee Bucks,11327466.0,John Henson, F,2017-2018
Chicago Bulls,11286516.0,Omer Asik, C,2017-2018
Indiana Pacers,11227000.0,Monta Ellis, SG,2017-2018
Utah Jazz,10845506.0,Alec Burks, SG,2017-2018
San Antonio Spurs,10714286.0,Patty Mills, PG,2017-2018
Milwaukee Bucks,10607143.0,Tony Snell, SG,2017-2018
Orlando Magic,10500000.0,Terrence Ross, SG,2017-2018
Milwaukee Bucks,10500000.0,Mirza Teletovic, PF,2017-2018
Indiana Pacers,10500000.0,Bojan Bogdanovic, SF,2017-2018
Philadelphia 76ers,10464092.0,Robert Covington, SF,2017-2018
Cleveland Cavaliers,10337079.0,Iman Shumpert, SG,2017-2018
Portland Trail Blazers,10162922.0,Maurice Harkless, SF,2017-2018
Detroit Pistons,10002681.0,Jon Leuer, PF,2017-2018
San Antonio Spurs,10000000.0,Danny Green, SG,2017-2018
Phoenix Suns,10000000.0,Jared Dudley, SF,2017-2018
Indiana Pacers,10000000.0,Al Jefferson, C,2017-2018
Portland Trail Blazers,9904495.0,Meyers Leonard, PF,2017-2018
Milwaukee Bucks,9607500.0,Matthew Dellavedova, PG,2017-2018
Indiana Pacers,13964045.0,Thaddeus Young, PF,2017-2018
Houston Rockets,13618750.0,Brandon Knight, PG,2017-2018
Charlotte Hornets,13528090.0,Cody Zeller, C,2017-2018
Charlotte Hornets,13000000.0,Michael Kidd-Gilchrist, SF,2017-2018
Phoenix Suns,13000000.0,Tyson Chandler, C,2017-2018
Houston Rockets,12943020.0,Eric Gordon, SG,2017-2018
Denver Nuggets,12921348.0,Kenneth Faried, PF,2017-2018
Washington Wizards,12782609.0,Marcin Gortat, C,2017-2018
Orlando Magic,12750000.0,Nikola Vucevic, C,2017-2018
LA Clippers,12650000.0,Austin Rivers, PG,2017-2018
Miami Heat,12537527.0,Kelly Olynyk, PF,2017-2018
Brooklyn Nets,12516746.0,Jeremy Lin, PG,2017-2018
Los Angeles Lakers,12500000.0,Jordan Clarkson, PG,2017-2018
Atlanta Hawks,12500000.0,Miles Plumlee, C,2017-2018
Sacramento Kings,12307692.0,Zach Randolph, PF,2017-2018
New York Knicks,12253780.0,Courtney Lee, SG,2017-2018
New Orleans Pelicans,12236535.0,Solomon Hill, SF,2017-2018
Minnesota Timberwolves,12100000.0,Nikola Pekovic, C,2017-2018
Denver Nuggets,12016854.0,Wilson Chandler, SF,2017-2018
Sacramento Kings,9412280.0,Bogdan Bogdanovic, SG,2017-2018
Toronto Raptors,9367200.0,Norman Powell, SF,2017-2018
Miami Heat,9367200.0,Josh Richardson, SG,2017-2018
Oklahoma City Thunder,9259260.0,Andre Roberson, SG,2017-2018
Dallas Mavericks,9003125.0,Dwight Powell, PF,2017-2018
Philadelphia 76ers,9000000.0,Gerald Henderson, SG,2017-2018
LA Clippers,8808989.0,Avery Bradley, SG,2017-2018
Washington Wizards,8600000.0,Markieff Morris, PF,2017-2018
Philadelphia 76ers,8575916.0,Jerryd Bayless, PG,2017-2018
Memphis Grizzlies,8533333.0,JaMychal Green, PF,2017-2018
Chicago Bulls,8470980.0,Cristiano Felicio, PF,2017-2018
New Orleans Pelicans,8445024.0,E'Twaun Moore, G,2017-2018
San Antonio Spurs,8406000.0,Rudy Gay, SF,2017-2018
Sacramento Kings,8393000.0,Kosta Koufos, C,2017-2018
Philadelphia 76ers,8339880.0,Markelle Fultz, PG,2017-2018
Sacramento Kings,8000000.0,Garrett Temple, SG,2017-2018
Minnesota Timberwolves,8000000.0,Kevin Garnett, PF,2017-2018
Los Angeles Lakers,8000000.0,Yi Jianlian, SF,2017-2018
Sacramento Kings,8000000.0,Vince Carter, SF,2017-2018
Indiana Pacers,7945000.0,Cory Joseph, PG,2017-2018
Toronto Raptors,7936509.0,CJ Miles, SF,2017-2018
Golden State Warriors,7692308.0,Shaun Livingston, PG,2017-2018
Houston Rockets,7590035.0,PJ Tucker, SF,2017-2018
Oklahoma City Thunder,7579366.0,Corey Brewer, F,2017-2018
Minnesota Timberwolves,7574323.0,Andrew Wiggins, SF,2017-2018
Cleveland Cavaliers,7560000.0,Kyle Korver, SG,2017-2018
Utah Jazz,7500000.0,Boris Diaw, C,2017-2018
Charlotte Hornets,7488372.0,Jeremy Lamb, SG,2017-2018
Denver Nuggets,7464912.0,Darrell Arthur, F,2017-2018
Houston Rockets,7420912.0,Trevor Ariza, SF,2017-2018
Los Angeles Lakers,7420912.0,Channing Frye, F,2017-2018
Portland Trail Blazers,7400000.0,Festus Ezeli, C,2017-2018
Portland Trail Blazers,7319035.0,Al-Farouq Aminu, PF,2017-2018
Minnesota Timberwolves,7300000.0,Cole Aldrich, C,2017-2018
Orlando Magic,7250000.0,D.J. Augustin, PG,2017-2018
Atlanta Hawks,7200000.0,Dewayne Dedmon, C,2017-2018
New York Knicks,7119650.0,Lance Thomas, SF,2017-2018
Brooklyn Nets,7019698.0,D'Angelo Russell, PG,2017-2018
LA Clippers,7000000.0,Boban Marjanovic, C,2017-2018
LA Clippers,7000000.0,Lou Williams, SG,2017-2018
Detroit Pistons,7000000.0,Langston Galloway, SG,2017-2018
Utah Jazz,6796117.0,Jae Crowder, PF,2017-2018
Philadelphia 76ers,6500000.0,Carl Landry, PF,2017-2018
Philadelphia 76ers,6434520.0,Ben Simmons, PG,2017-2018
San Antonio Spurs,6393750.0,Tim Duncan, C,2017-2018
Portland Trail Blazers,6362998.0,Andrew Nicholson, PF,2017-2018
Portland Trail Blazers,6352531.0,Ed Davis, PF,2017-2018
Los Angeles Lakers,6286560.0,Lonzo Ball, PG,2017-2018
Los Angeles Lakers,6261395.0,Isaiah Thomas, PG,2017-2018
Minnesota Timberwolves,6216840.0,Karl-Anthony Towns, C,2017-2018
Milwaukee Bucks,6061175.0,Spencer Hawes, PF,2017-2018
Dallas Mavericks,6021175.0,Josh McRoberts, PF,2017-2018
Orlando Magic,6000000.0,Shelvin Mack, PG,2017-2018
Orlando Magic,6000000.0,Jonathon Simmons, SF,2017-2018
Phoenix Suns,6000000.0,Alan Williams, PF,2017-2018
Detroit Pistons,6000000.0,Ish Smith, PG,2017-2018
LA Clippers,5882260.0,Wesley Johnson, SF,2017-2018
Oklahoma City Thunder,5725000.0,Alex Abrines, SG,2017-2018
New York Knicks,5697054.0,Kristaps Porzingis, PF,2017-2018
Boston Celtics,5645400.0,Jayson Tatum, SF,2017-2018
Phoenix Suns,5628000.0,Jared Sullinger, C,2017-2018
Los Angeles Lakers,5519400.0,Brandon Ingram, SF,2017-2018
LA Clippers,5513514.0,Patrick Beverley, PG,2017-2018
Utah Jazz,5500000.0,Thabo Sefolosha, SF,2017-2018
Shanghai Sharks,5500000.0,Luis Scola, F,2017-2018
Washington Wizards,5450000.0,Jason Smith, PF,2017-2018
Memphis Grizzlies,5200000.0,Ben McLemore, SG,2017-2018
Oklahoma City Thunder,5192000.0,Patrick Patterson, PF,2017-2018
Golden State Warriors,5192000.0,Nick Young, G,2017-2018
Phoenix Suns,5090040.0,Josh Jackson, SF,2017-2018
Orlando Magic,5000000.0,C.J. Watson, PG,2017-2018
Atlanta Hawks,5000000.0,Mike Muscala, PF,2017-2018
Boston Celtics,5000000.0,Marcus Morris, PF,2017-2018
Utah Jazz,4992385.0,Dante Exum, PG,2017-2018
Orlando Magic,4969080.0,Jonathan Isaac, PF,2017-2018
LA Clippers,4961798.0,Alexis Ajinca, C,2017-2018
Boston Celtics,4956480.0,Jaylen Brown, SG,2017-2018
Atlanta Hawks,4837500.0,Mike Dunleavy, SG,2017-2018
Oklahoma City Thunder,4666500.0,Kyle Singler, F,2017-2018
Sacramento Kings,4609200.0,De'Aaron Fox, PG,2017-2018
New York Knicks,4544000.0,Ron Baker, SG,2017-2018
Chicago Bulls,4536120.0,Lauri Markkanen, PF,2017-2018
Phoenix Suns,4468800.0,Dragan Bender, PF,2017-2018
Denver Nuggets,4402546.0,Devin Harris, PG,2017-2018
Chicago Bulls,4384616.0,Justin Holiday, SF,2017-2018
Brooklyn Nets,4347826.0,Greivis Vasquez, PG,2017-2018
Minnesota Timberwolves,4328000.0,Jamal Crawford, SG,2017-2018
New York Knicks,4294480.0,Emmanuel Mudiay, PG,2017-2018
Chicago Bulls,4221000.0,Kris Dunn, PG,2017-2018
Dallas Mavericks,4187599.0,Nerlens Noel, PF,2017-2018
Phoenix Suns,4187599.0,Alex Len, C,2017-2018
New York Knicks,4155720.0,Frank Ntilikina, PG,2017-2018
