team,salary,player,position,season
Washington Wizards,1485000.0,Chris Singleton, SF,2011-2012
LA Clippers,1467840.0,Alexis Ajinca, C,2011-2012
Indiana Pacers,1455960.0,Darren Collison, PG,2011-2012
Portland Trail Blazers,1442880.0,Elliot Williams, SG,2011-2012
Milwaukee Bucks,1418160.0,Tobias Harris, SF,2011-2012
Philadelphia 76ers,1404960.0,Craig Brackins, PF,2011-2012
San Antonio Spurs,1402540.0,James Anderson, SG,2011-2012
Miami Heat,1399507.0,Eddie House, SG,2011-2012
Miami Heat,1399507.0,Zydrunas Ilgauskas, C,2011-2012
Portland Trail Blazers,1365720.0,Nolan Smith, PG,2011-2012
Portland Trail Blazers,1352181.0,Kurt Thomas, PF,2011-2012
Utah Jazz,1352181.0,Jamaal Tinsley, PG,2011-2012
Boston Celtics,1352181.0,Shaquille O'Neal, C,2011-2012
Milwaukee Bucks,1350000.0,Roko-Leni Ukic, PG,2011-2012
Cleveland Cavaliers,1341960.0,Omri Casspi, SF,2011-2012
Memphis Grizzlies,1300000.0,Hamed Haddadi, C,2011-2012
Washington Wizards,1294920.0,Trevor Booker, F,2011-2012
Oklahoma City Thunder,1288200.0,Serge Ibaka, PF,2011-2012
Charlotte Bobcats,1288200.0,Byron Mullens, C,2011-2012
Denver Nuggets,1254720.0,Kenneth Faried, PF,2011-2012
New Jersey Nets,1243080.0,Damion James, SF,2011-2012
Dallas Mavericks,1236720.0,Rodrigue Beaubois, PG,2011-2012
Washington Wizards,1223166.0,Brian Cook, PF,2011-2012
Oklahoma City Thunder,1200000.0,Royal Ivey, PG,2011-2012
Chicago Bulls,1195680.0,Taj Gibson, PF,2011-2012
Dallas Mavericks,1193280.0,Dominique Jones, SG,2011-2012
Memphis Grizzlies,1184750.0,Sam Young, SF,2011-2012
Orlando Magic,1160000.0,Earl Clark, SF,2011-2012
Oklahoma City Thunder,1156320.0,Reggie Jackson, PG,2011-2012
Minnesota Timberwolves,1154040.0,Wayne Ellington, SG,2011-2012
Memphis Grizzlies,1153800.0,Quincy Pondexter, SF,2011-2012
New York Knicks,1145640.0,Toney Douglas, PG,2011-2012
Denver Nuggets,1121520.0,Jordan Hamilton, SG,2011-2012
Washington Wizards,1120440.0,Jordan Crawford, G,2011-2012
New Orleans Hornets,1113600.0,Greivis Vasquez, PG,2011-2012
Milwaukee Bucks,1106941.0,Stephen Graham, SF,2011-2012
Cleveland Cavaliers,1106941.0,Joey Graham, SF,2011-2012
Orlando Magic,1105560.0,Daniel Orton, C,2011-2012
Los Angeles Lakers,1097520.0,Christian Eyenga, SF,2011-2012
Oklahoma City Thunder,1097520.0,Lazar Hayward, SF,2011-2012
Miami Heat,1082520.0,Norris Cole, PG,2011-2012
San Antonio Spurs,1074720.0,Cory Joseph, PG,2011-2012
Minnesota Timberwolves,1071720.0,Alando Tucker, SF,2011-2012
Orlando Magic,1069509.0,Von Wafer, SG,2011-2012
New Jersey Nets,1063865.0,MarShon Brooks, SG,2011-2012
San Antonio Spurs,1059750.0,Stephen Jackson, SF,2011-2012
San Antonio Spurs,1054000.0,DeJuan Blair, C,2011-2012
Boston Celtics,1042320.0,JaJuan Johnson, PF,2011-2012
Brooklyn Nets,1033342.0,Quinton Ross, SF,2011-2012
Cleveland Cavaliers,1029389.0,Jawad Williams, SF,2011-2012
Golden State Warriors,1027424.0,Earl Barron, C,2011-2012
Chicago Bulls,1020960.0,Jimmy Butler, SG,2011-2012
